sourceId,behaviorId,disposition,rationale,owner
"api:apps/api_server/src/__tests__/agent_capability_gaps_postgres.test.ts:L86","behavior:empty-loading-error-offline-forbidden","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_configs_export_import.test.ts:L109","behavior:empty-loading-error-offline-forbidden","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_configs_export_import.test.ts:L122","behavior:empty-loading-error-offline-forbidden","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_configs_export_import.test.ts:L168","behavior:settings-updates","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_configs_export_import.test.ts:L202","behavior:empty-loading-error-offline-forbidden","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_configs_export_import.test.ts:L244","behavior:empty-loading-error-offline-forbidden","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_configs_export_import.test.ts:L294","behavior:empty-loading-error-offline-forbidden","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_configs_export_import.test.ts:L326","behavior:dashboard-planner-tasks-rhythms-projects-messages-facilities-automations-integrations","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_configs_export_import.test.ts:L344","behavior:empty-loading-error-offline-forbidden","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_configs_export_import.test.ts:L47","behavior:empty-loading-error-offline-forbidden","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_configs_export_import.test.ts:L60","behavior:empty-loading-error-offline-forbidden","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_configs_export_import.test.ts:L72","behavior:empty-loading-error-offline-forbidden","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_configs_export_import.test.ts:L99","behavior:empty-loading-error-offline-forbidden","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_configs_routes.test.ts:L100","behavior:empty-loading-error-offline-forbidden","retained_integration","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_configs_routes.test.ts:L106","behavior:empty-loading-error-offline-forbidden","retained_integration","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
